10278,13948,-0- ,-0- ,-0- ,-0- 
11195,16310,"P.O. Box 83145-311, 28 km Esfahan - Tehran Freeway, Shahin Shahr","Esfahan","Iran",-0- 
11195,16311,"P.O. Box 14155-5568, No. 27 Shahamat Ave, Vallie Asr Sqr","Tehran 15946","Iran",-0- 
11195,16312,"P.O. Box 81465-935","Esfahan","Iran",-0- 
11195,16313,"Shahih Shar Industrial Zone","Esfahan","Iran",-0- 
11195,16314,"P.O. Box 8140, No. 107 Sepahbod Gharany Ave","Tehran","Iran",-0- 
12685,19977,"Hay Elandadlus - Jian St, P.O. Box 1101","Tripoli","Libya",-0- 
12685,19978,"22, Rue Henri-Mussard","Geneva 1208","Switzerland",-0- 
15102,22453,"50 6th  Ave.","Corozal","Belize",-0- 
15102,22454,"651 Vista Del Mar","Ladyville","Belize",-0- 
15102,22455,"561 Vista Del Mar","Ladyville","Belize",-0- 
12562,19709,-0- ,-0- ,-0- ,-0- 
19709,29915,"50 St. Leonards Road","Bexhill on Sea, East Sussex","United Kingdom",-0- 
19709,29916,"74 High Street","Battle, East Sussex","United Kingdom",-0- 
28603,43253,"place du Lac 2","Geneve 1204","Switzerland",-0- 
29702,44767,"Primorsky Prospect 159","Saint Petersburg 197374","Russia",-0- 
21765,33151,-0- ,-0- ,-0- ,-0- 
33151,49822,"Presnenskaya Embankment, 12, Federation East Tower, Floor 31, Suite Q","Moscow 123317","Russia",-0- 
33151,49823,"Skorepka 1058/8 Stare Mesto","Prague 110 00","Czech Republic",-0- 
44525,66302,-0- ,"Miami, FL 33130","United States",-0- 
47371,70615,-0- ,-0- ,-0- ,-0- 
48603,72971,-0- ,-0- ,"Russia",-0- 
48727,73229,-0- ,-0- ,-0- ,-0- 
33723,50544,-0- ,-0- ,-0- ,-0- 
50544,76634,"Ul. Timura Frunze, D. 11, Str. 1, Floor 1, Pomeshch. I, Kom. 2","Moscow 119021","Russia",-0- 
33997,50972,-0- ,"Izvore","Kosovo",-0- 
50972,77443,-0- ,-0- ,-0- ,-0- 
52327,79941,-0- ,-0- ,-0- ,-0- 
